************************************************************************************************************************************************************************************************************
*    Row   *      nstb *      chan *       row *       col *        pp *     pprow *     ppcol *   qtcrate *    qtslot *    qtcard *    qtchan *   hvboard *    hvchip *    hvchan * hvaddress * cell_type *
*      907 *         3 *       150 *        12 *         5 *         2 *        12 *         9 *         4 *         4 *         3 *         1 *         2 *         2 *         2 *        E0 * small_rus *
*      908 *         3 *       151 *        12 *         6 *         2 *        15 *         4 *         4 *         4 *         3 *         2 *         2 *         2 *         2 *        E8 * small_rus *
*      909 *         3 *       152 *        12 *         7 *         2 *        16 *         4 *         4 *         4 *         3 *         3 *         2 *         2 *         2 *        F0 * small_rus *
*      910 *         3 *       153 *        12 *         8 *         2 *        17 *         4 *         4 *         4 *         3 *         4 *         2 *         2 *         2 *        F8 * small_rus *
*      911 *         3 *       154 *        12 *         9 *         2 *        18 *         4 *         4 *         4 *         3 *         5 *         2 *         2 *         3 *        F8 * small_rus *
*      912 *         3 *       155 *        12 *        10 *         2 *        19 *         4 *         4 *         4 *         3 *         6 *         2 *         2 *         3 *        E8 * small_rus *
*      913 *         3 *       156 *        12 *        11 *         2 *        20 *         4 *         4 *         4 *         3 *         7 *         2 *         2 *         3 *        E0 * small_rus *
*      914 *         3 *       162 *        13 *         5 *         2 *        12 *         8 *         4 *         4 *         2 *         0 *         2 *         2 *         2 *        E2 * small_rus *
*      915 *         3 *       163 *        13 *         6 *         2 *        19 *         1 *         4 *         4 *         2 *         1 *         2 *         2 *         2 *        EA * small_rus *
*      916 *         3 *       164 *        13 *         7 *         2 *        19 *         2 *         4 *         4 *         2 *         2 *         2 *         2 *         2 *        F2 * small_rus *
*      917 *         3 *       165 *        13 *         8 *         2 *        19 *         3 *         4 *         4 *         2 *         3 *         2 *         2 *         2 *        FA * small_rus *
*      918 *         3 *       166 *        13 *         9 *         2 *        20 *         1 *         4 *         4 *         2 *         4 *         2 *         2 *         3 *        FA * small_rus *
*      919 *         3 *       167 *        13 *        10 *         2 *        20 *         2 *         4 *         4 *         2 *         5 *         2 *         2 *         3 *        EA * small_rus *
*      920 *         3 *       168 *        13 *        11 *         2 *        20 *         3 *         4 *         4 *         2 *         6 *         2 *         2 *         3 *        E2 * small_rus *
*      921 *         3 *       174 *        14 *         5 *         2 *        12 *         7 *         4 *         4 *         1 *         0 *         2 *         2 *         2 *        E4 * small_rus *
*      922 *         3 *       175 *        14 *         6 *         2 *        17 *         1 *         4 *         4 *         1 *         1 *         2 *         2 *         2 *        EC * small_rus *
